block idx,date start,challenge item name,lexical item name,linguistic category,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,replay counter,
0,2016-11-25 12:23:44,body,body,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,p3,,,,0,25.677,lips,s2,assoc,1,
0,2016-11-25 12:23:44,fly,fly,noun_1syll_word,Word,NoNoise,0,0.1322,2,p3,s2,,,,0,27.2579,tie,p3,mp,1,
0,2016-11-25 12:23:44,The plane,plane,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,7.5965,,,,0,
0,2016-11-25 12:23:44,lamb,lamb,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,8.7803,calf,s1,assoc,0,
0,2016-11-25 12:23:44,the clothes,clothes,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,4.727,,,,0,
0,2016-11-25 12:23:44,sheep,sheep,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p3,,,,0,13.5744,cow,s2,coord,0,
0,2016-11-25 12:23:44,children,children,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,p1,,,,1,9.9354,,,,0,
0,2016-11-25 12:23:44,the pound,pound,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p3,s1,,,,1,6.4634,,,,0,
0,2016-11-25 12:23:44,silver,silver,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,p1,,,,0,12.4436,coin,s2,assoc,0,
0,2016-11-25 12:23:44,men,men,noun_1syll_word,Word,NoNoise,0,0.1,2,p1,s1,,,,0,37.1594,women,s1,assoc,4,
0,2016-11-25 12:23:44,smoke,smoke,noun_1syll_word,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,27.6165,cigar,s1,assoc,0,
0,2016-11-25 12:23:44,The meat,meat,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,5.9519,,,,0,
0,2016-11-25 12:23:44,The bell,bell,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,15.2529,,,,1,
0,2016-11-25 12:23:44,the skin,skin,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p3,s2,,,,0,16.5051,the muscles,s2,assoc,0,
0,2016-11-25 12:23:44,picture,picture,noun_2syll_word,Word,NoNoise,0,0.1,2,p3,s1,,,,0,41.9519,pitcher (person),p3,close,2,
1,2016-11-25 12:34:27,room,room,noun_1syll_word,Word,NoNoise,0,0.1,2,p3,s2,,,,1,21.1042,,,,2,
1,2016-11-25 12:34:27,The boat,boat,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p1,,,,0,20.6182,The captain,s2,assoc,1,
1,2016-11-25 12:34:27,ship,ship,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,9.2171,,,,0,
1,2016-11-25 12:34:27,note,note,noun_1syll_word,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,11.8119,,,,2,
1,2016-11-25 12:34:27,bedroom,bedroom,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,p1,,,,1,23.7005,,,,4,
1,2016-11-25 12:34:27,sea,sea,noun_1syll_word,Word,NoNoise,0,0.1,2,p2,s1,,,,1,4.4741,,,,0,
1,2016-11-25 12:34:27,The wave,wave,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,6.1351,,,,0,
1,2016-11-25 12:34:27,body,body,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,p1,,,,1,47.7639,,,,2,
1,2016-11-25 12:34:27,leg,leg,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,8.1366,,,,1,
1,2016-11-25 12:34:27,The band,band,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p1,,,,0,21.6702,The microphone,s2,assoc,0,
1,2016-11-25 12:34:27,The cloud,cloud,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,6.941,,,,1,
1,2016-11-25 12:34:27,net,net,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,4.0458,,,,0,
1,2016-11-25 12:34:27,wave,wave,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,7.8335,,,,0,
1,2016-11-25 12:34:27,The bell,bell,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,10.6035,,,,2,
1,2016-11-25 12:34:27,the glass,glass,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,4.6004,,,,0,
2,2016-11-25 12:43:45,box,box,noun_1syll_word,Word,NoNoise,0,0.1,2,s1,p1,,,,0,40.2625,parcel,s1,coord,4,
2,2016-11-25 12:43:45,the tv,tv,noun_2syll_phrase,Word,NoNoise,0,0.1,2,p1,s1,,,,1,11.1848,,,,2,
2,2016-11-25 12:43:45,The suit,suit,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p3,s2,,,,0,33.8656,The briefcase,s2,assoc,5,
2,2016-11-25 12:43:45,The bed,bed,noun_1syll_phrase,Word,NoNoise,0,0.1,2,s1,p2,,,,1,9.8109,,,,2,
2,2016-11-25 12:43:45,The food,food,noun_1syll_phrase,Word,NoNoise,0,0.1,2,s1,p1,,,,0,19.2452,The foot,p1,close,4,
2,2016-11-25 12:43:45,picture,picture,noun_2syll_word,Word,NoNoise,0,0.1,2,p2,s1,,,,0,29.3151,pitch,p2,distant,5,
2,2016-11-25 12:43:45,the children,children,noun_2syll_phrase,Word,NoNoise,0,0.1,2,p1,s1,,,,1,5.4548,,,,0,
2,2016-11-25 12:43:45,bird,bird,noun_1syll_word,Word,NoNoise,0,0.1,2,s1,p3,,,,1,3.6597,,,,0,
2,2016-11-25 12:43:45,the brain,brain,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,11.9564,,,,0,
2,2016-11-25 12:43:45,the police,police,noun_2syll_phrase,Word,NoNoise,0,0.1,2,p2,s2,,,,1,5.1118,,,,0,
2,2016-11-25 12:43:45,The bank,bank,noun_1syll_phrase,Word,NoNoise,0,0.1,2,s1,p1,,,,0,9.1513,The money,s1,assoc,0,
2,2016-11-25 12:43:45,the face,face,noun_1syll_phrase,Word,NoNoise,0,0.1,2,s1,p1,,,,1,7.0088,,,,0,
2,2016-11-25 12:43:45,The grubby saw,saw,noun_attributive,Word,NoNoise,0,0.1,2,p3,s1,,,,1,11.0926,,,,2,
2,2016-11-25 12:43:45,house,house,noun_1syll_word,Word,NoNoise,0,0.1,2,s1,p2,,,,1,9.28,,,,1,
2,2016-11-25 12:43:45,the useful box,box,noun_attributive,Word,NoNoise,0,0.1,2,s2,p3,,,,1,4.8918,,,,0,
3,2016-11-25 12:53:08,The mouth,mouth,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,8.4136,,,,1,
3,2016-11-25 12:53:08,pan,pan,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p3,,,,0,15.0396,plate,s2,assoc,4,
3,2016-11-25 12:53:08,roof,roof,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p2,,,,0,28.4347,wall,s2,coord,2,
3,2016-11-25 12:53:08,The bag,bag,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p2,,,,0,16.4182,The purse,s1,assoc,1,
3,2016-11-25 12:53:08,the milk,milk,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,12.1447,,,,4,
3,2016-11-25 12:53:08,men,men,noun_1syll_word,Word,NoNoise,0,0.1,2,s2,p3,,,,0,11.8349,car,s2,assoc,2,
3,2016-11-25 12:53:08,the hat,hat,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,29.7961,,,,2,
3,2016-11-25 12:53:08,guy,guy,noun_1syll_word,Word,NoNoise,0,0.1,2,p2,s2,,,,0,20.5331,woman,s2,coord,1,
3,2016-11-25 12:53:08,cream,cream,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,19.1356,,,,0,
3,2016-11-25 12:53:08,milk,milk,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,8.0409,,,,1,
3,2016-11-25 12:53:08,plane,plane,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,7.6479,,,,1,
3,2016-11-25 12:53:08,children,children,noun_2syll_word,Word,NoNoise,0,0.1,2,s1,p1,,,,1,6.6179,,,,1,
3,2016-11-25 12:53:08,skin,skin,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,8.7688,,,,0,
3,2016-11-25 12:53:08,The lamb,lamb,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,8.5552,,,,1,
3,2016-11-25 12:53:08,gold,gold,noun_1syll_word,Word,NoNoise,0,0.1,2,p1,s1,,,,1,4.9484,,,,0,
4,2016-11-25 13:01:34,clove,clove,noun_1syll_word,Word,NoNoise,1,0.2661,2,p1,s1,,,,0,9.6597,stove,p1,mp,1,
4,2016-11-25 13:01:34,grin,grin,noun_1syll_word,Word,NoNoise,1,0.2339,2,s1,p1,,,,1,19.2306,,,,2,
4,2016-11-25 13:01:34,phone,phone,noun_1syll_word,Word,NoNoise,1,0.1,2,p1,s1,,,,0,15.7899,walkie talkie,s1,coord,2,
4,2016-11-25 13:01:34,stairs,stairs,noun_1syll_word,Word,NoNoise,1,0.1643,2,s2,p1,,,,0,20.0704,escalator,s2,coord,2,
4,2016-11-25 13:01:34,land,land,noun_1syll_word,Word,NoNoise,1,0.1,2,s2,p2,,,,1,15.6071,,,,2,
4,2016-11-25 13:01:34,fire,fire,noun_1syll_word,Word,NoNoise,1,0.1,2,s2,p2,,,,1,14.8281,,,,2,
4,2016-11-25 13:01:34,fort,fort,noun_1syll_word,Word,NoNoise,1,0.1964,2,p1,s2,,,,1,15.6851,,,,1,
4,2016-11-25 13:01:34,cuff,cuff,noun_1syll_word,Word,NoNoise,1,0.2286,2,s1,p1,,,,0,19.6123,suit,s1,assoc,3,
4,2016-11-25 13:01:34,gnome,gnome,noun_1syll_word,Word,NoNoise,1,0.2286,2,p2,s1,,,,1,3.1479,,,,0,
4,2016-11-25 13:01:34,sack,sack,noun_1syll_word,Word,NoNoise,1,0.1643,2,s1,p2,,,,0,7.8029,bag,s1,coord,0,
4,2016-11-25 13:01:34,point,point,noun_1syll_word,Word,NoNoise,1,0.2125,2,s1,p2,,,,1,4.248,,,,0,
4,2016-11-25 13:01:34,a curve,curve,noun_1syll_phrase,Word,NoNoise,1,0.2339,2,s1,p1,,,,0,11.9375,a curb,p1,mp,0,
4,2016-11-25 13:01:34,the hoe,hoe,noun_1syll_phrase,Word,NoNoise,1,0.2607,2,p2,s1,,,,1,15.5195,,,,4,
4,2016-11-25 13:01:34,The tree,tree,noun_1syll_phrase,Word,NoNoise,1,0.1322,2,p2,s1,,,,1,7.6187,,,,0,
4,2016-11-25 13:01:34,The head,head,noun_1syll_phrase,Word,NoNoise,1,0.1,2,s2,p1,,,,1,9.5453,,,,0,
5,2016-11-25 13:09:43,the tv,tv,noun_2syll_phrase,Word,NoNoise,0,0.1,2,p2,s2,,,,1,5.0003,,,,0,
5,2016-11-25 13:09:43,picture,picture,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,p2,,,,0,17.3749,pitch,p2,distant,1,
5,2016-11-25 13:09:43,The bed,bed,noun_1syll_phrase,Word,NoNoise,0,0.1,2,p2,s2,,,,1,3.766,,,,0,
5,2016-11-25 13:09:43,the face,face,noun_1syll_phrase,Word,NoNoise,0,0.1,2,p3,s2,,,,1,2217.494,,,,7,
5,2016-11-25 13:09:43,house,house,noun_1syll_word,Word,NoNoise,0,0.1,2,s2,p3,,,,0,24.4397,shed,s2,assoc,2,
5,2016-11-25 13:09:43,The hall,hall,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,23.3,,,,2,
5,2016-11-25 13:09:43,The food,food,noun_1syll_phrase,Word,NoNoise,0,0.1,2,p1,s1,,,,0,14.8501,The fork,s1,assoc,0,
5,2016-11-25 13:09:43,box,box,noun_1syll_word,Word,NoNoise,0,0.1,2,p1,s1,,,,0,15.0849,parcel,s1,coord,2,
5,2016-11-25 13:09:43,bird,bird,noun_1syll_word,Word,NoNoise,0,0.1,2,s2,p2,,,,1,5.228,,,,0,
5,2016-11-25 13:09:43,The room,room,noun_1syll_phrase,Word,NoNoise,0,0.1,2,p3,s1,,,,0,27.3694,The sofa,s1,assoc,1,
5,2016-11-25 13:09:43,head,head,noun_1syll_word,Word,NoNoise,0,0.1,2,s2,p2,,,,0,31.0168,hat,s2,assoc,2,
5,2016-11-25 13:09:43,the children,children,noun_2syll_phrase,Word,NoNoise,0,0.1,2,p1,s2,,,,1,12.2744,,,,3,
5,2016-11-25 13:09:43,pool,pool,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,s2,,,,0,20.3887,swimming suit,s2,assoc,3,
5,2016-11-25 13:09:43,The bank,bank,noun_1syll_phrase,Word,NoNoise,0,0.1,2,s2,p2,,,,0,16.9003,the coins,s2,assoc,1,
5,2016-11-25 13:09:43,The neck,neck,noun_1syll_phrase,Word,NoNoise,0,0.1,2,s1,p2,,,,0,94.6818,The necklace,s1,coord,3,
6,2016-11-25 13:57:02,The meal,meal,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s2,,,,0,21.3132,The plate,s2,assoc,2,
6,2016-11-25 13:57:02,farm,farm,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p1,,,,0,16.0337,stables,s2,assoc,2,
6,2016-11-25 13:57:02,The pig,pig,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,9.8693,,,,1,
6,2016-11-25 13:57:02,the fly,fly,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,9.8754,,,,1,
6,2016-11-25 13:57:02,building,building,noun_2syll_word,Word,NoNoise,0,0.1,2,s1,p1,,,,1,13.1215,,,,2,
6,2016-11-25 13:57:02,sauce,sauce,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,26.5304,salt,s1,coord,4,
